"mz","rt","X300_500_Neg_Blank1.mzXML","X300_500_Neg_Blank2.mzXML","X300_500_Neg_JeansA.mzXML","X300_500_Neg_JeansB.mzXML","X300_500_Neg_JeansC.mzXML","X300_500_Neg_JeansD.mzXML","X300_500_Neg_JeansDx.mzXML","X300_500_Neg_JeansE.mzXML","X300_500_Neg_JeansF.mzXML","X300_500_Neg_JeansG.mzXML","X300_500_Neg_JeansGx.mzXML","MeOH_20190615135739.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore","allscore0","Final"
309.207427978516,5.27256666666667,10363.9306640625,8198.2783203125,8418.541015625,20783.541015625,46720.7265625,25885.484375,4717.5625,20531.994140625,122609.453125,172584.03125,37151.80078125,6034.548828125,10,"C18H30O4;C18H30O4;C18H30O4;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2","0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249","0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905","0.0197367767842906;0.0197367767842906;0.0197367767842906;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793","O=C(CCCCC(=O)OC1CCCCC1)OC2CCCCC2;CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C;CC(=O)OC1(C)CCC2C(C)(C)CCCC2(C)C1CC(O)=O;CC1(C)CCCC2(C)C1CCC3(C)OC(=O)CCC23;C[C@@H]1CC[C@H]2C(C)(C)C3CC12CCC3(C)OC(C)=O;C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)OC(C)=O;CC(C)=CCC\C(C)=C/CCC(C)(OC(C)=O)C=C;CCOC(OCC)C(C)Cc1ccc(cc1)C(C)C;CCCCCCCCCc1ccc(OCCO)cc1;CCCCCCCCCc1ccccc1OCCO;CC(=O)OC/C=C(C)/CC/C=C(C)/CCC=C(C)C;CCC(=O)CCC1C(=CCCC1(C)C)C.OCC#C;CC1CCCC(COC(C)=O)C2CC(CC12)C(C)=C;CCC(=O)OCC(C)(C)CC1=C(C)CCC1C(C)=C","6323;12648;15343;19704;799;889;3969;8446;12857;17751;18576;19286;31134;32505","[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","-0.5;-0.5;0;0;0;0;0;0;0;0;0;0;0;0","1;1;1;0;0;0;0;0;0;0;0;0;0;0","0","-0.00113591651275751;-0.0755888341563501;-0.591914615374465;-1.07765119516433;-0.506637408694967;-0.482636018753203;-1.30037054444339;-1.0781465451901;-2.37030803830086;-0.207996664521751;-0.28933517504804;-1.03351586317944;-0.675070364969479;-0.56044479355739","-0.00113591651275751;-0.0755888341563501;0.427822161409825;-3.51349751621226;-2.9424837297429;-2.91848233980113;-3.73621686549132;-3.51399286623803;-4.80615435934879;-2.64384298556968;-2.72518149609597;-3.46936218422737;-3.11091668601741;-2.99629111460532","-0.00113591651275751;-0.0755888341563501;0.427822161409825;-3.51349751621226;-2.9424837297429;-2.91848233980113;-3.73621686549132;-3.51399286623803;-4.80615435934879;-2.64384298556968;-2.72518149609597;-3.46936218422737;-3.11091668601741;-2.99629111460532","C18H30O4"
311.169057210286,5.8972,771938.625,820291.5,676315.5,984116.75,554541.5,873661.6875,1012406.25,966520.4375,1134983.25,1287849.375,714822.625,672796.4375,10,"C16H25NO5;C16H27NO6;C15H18N8;C15H23NO3;C15H23NO3;C15H23NO3","-0.484028474343239;-0.484028474343239;-0.484385376914002;-0.484028474343239;-0.484028474343239;-0.484028474343239","0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.27756910840851;-2.27756910840851;-2.27756910840851","-0.474078143490071;-0.474078143490071;-0.474435046060834;-2.76159758275175;-2.76159758275175;-2.76159758275175","CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O;CCCCOC(=O)C=C.COC(=O)C(C)=C.OCNC(=O)C=C;Cc1ccccc1N=C(N)N=C(N)N.[nH]2nc3ccccc3n2;CC(C)(N)CO.OC(=O)C=C.C=Cc1ccccc1;CC(C)(C)c1ccc(cc1)C(=O)N(CCO)CCO;CN(C)CCO.OC(=O)C=C.C=Cc1ccccc1","18077;18371;28585;23941;26586;36789","[M-H]-;[M-H-H2O]-;[M]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;0;0;0;0;0","1;0;0.5;0;0;0","0","-0.000978377017945711;-1.08519569006018;-12.2552185324311;-0.148277601608887;-1.20906623783733;-0.780666998630916","0.524943479491983;-1.55927383355025;-12.2296535784919;-2.90987518436064;-3.97066382058908;-3.54226458138267","0.524943479491983;-1.55927383355025;-12.2296535784919;-2.90987518436064;-3.97066382058908;-3.54226458138267","C16H25NO5"
311.169311523438,5.56426666666667,4821045,9247047,13067613,10721806,57065224,11448016,9404708,10390603,15683255,7325949,11190425,8965665,5,"C16H25NO5;C16H27NO6;C15H23NO3;C15H23NO3;C15H23NO3;C15H18N8","-0.484044112514073;-0.484044112514073;-0.484044112514073;-0.484044112514073;-0.484044112514073;-0.484400036745348","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","-0.474093781660905;-0.474093781660905;-0.474093781660905;-0.474093781660905;-0.474093781660905;-0.47444970589218","CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O;CCCCOC(=O)C=C.COC(=O)C(C)=C.OCNC(=O)C=C;CC(C)(N)CO.OC(=O)C=C.C=Cc1ccccc1;CC(C)(C)c1ccc(cc1)C(=O)N(CCO)CCO;CN(C)CCO.OC(=O)C=C.C=Cc1ccccc1;Cc1ccccc1N=C(N)N=C(N)N.[nH]2nc3ccccc3n2","18077;18371;23941;26586;36789;28585","[M-H]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M]-","0","0;0;0;0;0;0","1;0;0;0;0;0.5","0","-0.141797188766589;-1.92379096707394;-0.53340960894146;-0.568960682482708;-0.289737783194381;-14.791916618403","0.384109029572506;-2.39788474873485;-1.00750339060236;-1.04305446414361;-0.763831564855286;-14.7663663242952","0.384109029572506;-2.39788474873485;-1.00750339060236;-1.04305446414361;-0.763831564855286;-14.7663663242952","C16H25NO5"
313.238596598307,7.78653333333333,34777.171875,37911.4609375,48915.78125,72522,118160.4296875,79882.609375,24093.982421875,86238.1640625,550653.6875,197904.796875,73921.3984375,16484.271484375,9,"C18H33BO4;C18H34O4;C18H34O4;C18H34O4;C17H32O2;C17H32O2;C17H32O2","0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951","CCCCCCCC\C=C/CCCCCCCC(=O)OB([O-])[O-];CCCCCCCCC(=O)OOC(=O)CCCCCCCC;OC(=O)CCCCCCCCCCCCCCCCC(O)=O;CCC[C@@H](CC)OC(=O)CCCCC(=O)OCC[C@H](C)CC;CCCCCCCCCCCCCCOC(=O)C=C;CC(CCC=C(C)C)CCC1OC(C)CC(C)(C)O1;CC/C=C/CCCCCCCCO[C@@H]1CCCCO1","39568;6163;6376;19350;19354;21252;23617","[M]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;-0.5;0;-0.5;0;0;0","0.5;1;1;1;0;0;0","0","-0.0733573718806773;-2.08104367811147;-0.211590997130629;-0.168028263692178;-0.209057341645231;-0.226427298764222;-0.226427298764222","0.446280130078618;-2.08104367811147;0.808046504828671;-0.168028263692178;-0.189419839685936;-0.206789796804927;-0.206789796804927","0.446280130078618;-2.08104367811147;0.808046504828671;-0.168028263692178;-0.189419839685936;-0.206789796804927;-0.206789796804927","C18H34O4"
313.238596598307,7.78653333333333,37160.3671875,47277.06640625,53389.58203125,72522,118160.4296875,79882.609375,23958.919921875,86238.1640625,550653.6875,197904.796875,73921.3984375,46873.984375,9,"C18H33BO4;C18H34O4;C18H34O4;C18H34O4;C17H32O2;C17H32O2;C17H32O2","0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951","CCCCCCCC\C=C/CCCCCCCC(=O)OB([O-])[O-];CCCCCCCCC(=O)OOC(=O)CCCCCCCC;OC(=O)CCCCCCCCCCCCCCCCC(O)=O;CCC[C@@H](CC)OC(=O)CCCCC(=O)OCC[C@H](C)CC;CCCCCCCCCCCCCCOC(=O)C=C;CC(CCC=C(C)C)CCC1OC(C)CC(C)(C)O1;CC/C=C/CCCCCCCCO[C@@H]1CCCCO1","39568;6163;6376;19350;19354;21252;23617","[M]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-","0","0;-0.5;0;-0.5;0;0;0","0.5;1;1;1;0;0;0","0","-0.0733573718806773;-2.08104367811147;-0.211590997130629;-0.168028263692178;-0.209057341645231;-0.226427298764222;-0.226427298764222","0.446280130078618;-2.08104367811147;0.808046504828671;-0.168028263692178;-0.189419839685936;-0.206789796804927;-0.206789796804927","0.446280130078618;-2.08104367811147;0.808046504828671;-0.168028263692178;-0.189419839685936;-0.206789796804927;-0.206789796804927","C18H34O4"
316.257680257161,5.21285,23660.962890625,20282.67578125,31267.001953125,38710.2421875,24795.201171875,31041.201171875,33505.57421875,30576.10546875,154366.859375,106409.578125,59794.80859375,27524.66015625,9,"C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2","0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809","0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409","CCCCCCCCCCCCCCCC(=O)OC;CCCCCCCCCCCCCCOC(=O)CC;CCCCCCCCCCCC(=O)OCCC(C)C;CCCCCCCCCCCCCCC(C)C(O)=O;CCCCCCCCCCCCCCOCC1CO1;CCCCCCCCCCCCCCCCC(O)=O;CCCCCCCCCCCCCC(CC)C(O)=O;CCCCC(CC)COC(=O)CC(C)CC(C)(C)C;CCCCC(CC)COC(=O)CCCCCC(C)C","687;8760;12345;18312;22087;25252;30734;38091;39126","[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-",";0.5;0.5;0.5;0.5;0;0.5;0.5;0.5;0.5","0;0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0;0","-0.0177362333234934;-2.78595299741668e-05;-0.000837286489712993;-0.47398488822771;-0.317596754002005;-0.63283131920948;-0.47398488822771;-0.0206594271195606;-0.0180703312704408","0.999407994625917;1.01711636841944;1.0163069414597;0.5431593397217;0.299547473947404;0.38431290873993;0.5431593397217;0.996484800829849;0.999073896678969","0.999407994625917;1.01711636841944;1.0163069414597;0.5431593397217;0.299547473947404;0.38431290873993;0.5431593397217;0.996484800829849;0.999073896678969","C17H34O2"
325.184448242188,9.3284,129010.171875,166608.4375,112890.4375,164211.03125,137024.328125,136956.953125,220436.5625,156239.53125,173088.921875,110144.703125,138826.515625,128186.0234375,7,"C18H30O3S;C18H30O3S;C18H30O3S;C18H30O3S;C17H29NO6;C16H20N8;C17H27NO5","0.00879808834452949;0.00879808834452949;0.00879808834452949;0.00879808834452949;-0.484100129611752;-0.484458420886351;-0.484100129611752","0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;-4.16135614166326;-4.30792829334793;-4.3350776711103","1.0187484191977;1.0187484191977;1.0187484191977;1.0187484191977;-5.64545627127501;-5.79238671423428;-5.81917780072205","CCCCCCCCCCCCc1ccc(cc1)[S](O)(=O)=O;CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1;CCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O;CCC(C(C)CC(C)CC(C)C)c1ccc(cc1)[S](O)(=O)=O;CCOC(=O)C=C.COC(=O)C(C)=C.CC1CN1.CC(=C)C(O)=O;Cc1ccc2n[nH]nc2c1.Cc3ccccc3N=C(N)N=C(N)N;OC(=O)\C=C\C(=O)OCCNC(=O)CCCCCCCCC=C","28583;3371;8002;24641;43018;18336;27209","[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M]-;[M-H]-","0","0;-0.5;0;0;0;0;0","1;1;1;1;0;0.5;1","0;0;0;0;0;0;0","-0.012493978081943;-6.37195667002015;-11.3572171759568;-6.49986105771842;-5.23075361925734;-5.65782930980251;-6.86678744106947","2.00625444111576;-6.37195667002015;-9.33846875675908;-4.48111263852072;-10.8762098905324;-10.9502160240368;-11.6859652417915","2.00625444111576;-6.37195667002015;-9.33846875675908;-4.48111263852072;-10.8762098905324;-10.9502160240368;-11.6859652417915","C18H30O3S"
329.160858154297,7.87395,47685.21875,85690.8671875,39495.18359375,72534.5390625,100721.296875,101937.265625,43206.9921875,75933.046875,129352.8359375,87263.109375,70889.46875,45029.4375,9,"C16H26O7;C16H26O7","-0.00507371078015374;-0.00507371078015374","0.00995033085316809;0.00995033085316809","0.00487662007301435;0.00487662007301435","CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C;CCC(=C)C(O)=O.COC(=O)C(C)=C.CC(=C)C(=O)OCCO","2919;18271","[M-H]-;[M-H]-","0","-0.5;0","1;1","0","-7.05921717629284;-0.579437662495383","-7.05921717629284;0.425438957577627","-7.05921717629284;0.425438957577627","C16H26O7"
