"mz","rt","Sample with Max Intensity","Formula","SMILES","Match Score"
"303.2002563","7.121183333","100_300_Neg_JeansG.mzXML","C14H27NO3","CCCCC(CC)C(=O)NCCCCCC(O)=O","-5.38931362"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C15H33NO6","OCCCOCCN(CCOCCCO)CCOCCCO","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C15H33NO6","COCCOCCN(CCOCCOC)CCOCCOC","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CCCCCCCCCC(=O)N(CCO)CCO","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CCCCCCCCCC(O)=O.C1COCCN1","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CC(C)CCCCCOCCCNCCC(O)=O","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C15H33NO6","OCCCOCCN(CCOCCCO)CCOCCCO","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C15H33NO6","COCCOCCN(CCOCCOC)CCOCCOC","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CCCCCCCCCC(=O)N(CCO)CCO","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CCCCCCCCCC(O)=O.C1COCCN1","-0.474045003050974"
"305.2163493","6.086483333","100_300_Neg_JeansC.mzXML","C14H29NO3","CC(C)CCCCCOCCCNCCC(O)=O","-0.474045003050974"
"309.1532186","5.043216667","100_300_Neg_JeansC.mzXML","C15H21NO3","OC(=O)C=C.C=Cc1ccccc1.C2COCCN2","-4.964184517"
"309.1743368","5.77165","100_300_Neg_JeansF.mzXML","C14H30O5S","CCCCCCCCCCCCOCCO[S](O)(=O)=O","1.01875958231955"
"309.1743368","5.77165","100_300_Neg_JeansF.mzXML","C13H28O3S","CCCCCCCCCCCCC[S](O)(=O)=O","0.0187595823195453"
"309.1743368","5.77165","100_300_Neg_JeansF.mzXML","C17H26N2O","CCN1c2cc(NC(=O)CC)ccc2C(C)CC1(C)C","0"
"309.1746521","5.680033333","100_300_Neg_JeansC.mzXML","C14H30O5S","CCCCCCCCCCCCOCCO[S](O)(=O)=O","-3.353092577"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C16H25NO5","CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O","0.525906218339095"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C15H18N8","Cc1ccccc1N=C(N)N=C(N)N.[nH]2nc3ccccc3n2","0.02555029410782"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C16H27NO6","CCCCOC(=O)C=C.COC(=O)C(C)=C.OCNC(=O)C=C","-0.474093781660905"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C15H23NO3","CC(C)(N)CO.OC(=O)C=C.C=Cc1ccccc1","-0.474093781660905"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C15H23NO3","CC(C)(C)c1ccc(cc1)C(=O)N(CCO)CCO","-0.474093781660905"
"311.1693115","5.564266667","100_300_Neg_JeansC.mzXML","C15H23NO3","CN(C)CCO.OC(=O)C=C.C=Cc1ccccc1","-0.474093781660905"
"313.0786133","10.63985","100_300_Neg_JeansF.mzXML","C22H14","c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23","0"
"313.0786133","10.63985","100_300_Neg_JeansF.mzXML","C22H14","c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1","0"
"313.0786133","10.63985","100_300_Neg_JeansF.mzXML","C10H12N4O5","OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23","-3.24364170772444"
"313.0786133","10.63985","100_300_Neg_JeansF.mzXML","C22H14","c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23","0"
"313.0786133","10.63985","100_300_Neg_JeansF.mzXML","C22H14","c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1","0"
"313.0786133","10.63985","100_300_Neg_JeansF.mzXML","C10H12N4O5","OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23","-3.24364170772444"
"313.2385966","7.786533333","100_300_Neg_JeansF.mzXML","C18H34O4","OC(=O)CCCCCCCCCCCCCCCCC(O)=O","1.0196375019593"
"313.2385966","7.786533333","100_300_Neg_JeansF.mzXML","C18H33BO4","CCCCCCCC\C=C/CCCCCCCC(=O)OB([O-])[O-]","0.519637501959295"
"313.2385966","7.786533333","100_300_Neg_JeansF.mzXML","C17H32O2","CCCCCCCCCCCCCCOC(=O)C=C","0.0196375019592951"
"313.2385966","7.786533333","100_300_Neg_JeansF.mzXML","C17H32O2","CC(CCC=C(C)C)CCC1OC(C)CC(C)(C)O1","0.0196375019592951"
"313.2385966","7.786533333","100_300_Neg_JeansF.mzXML","C17H32O2","CC/C=C/CCCCCCCCO[C@@H]1CCCCO1","0.0196375019592951"
"313.2385966","7.786533333","100_300_Neg_JeansF.mzXML","C18H34O4","CCCCCCCCC(=O)OOC(=O)CCCCCCCC","0"
"313.2385966","7.786533333","100_300_Neg_JeansF.mzXML","C18H34O4","CCC[C@@H](CC)OC(=O)CCCCC(=O)OCC[C@H](C)CC","0"
"313.2387899","5.30005","100_300_Neg_JeansF.mzXML","C18H34O4","CCCCCCCCC(=O)OOC(=O)CCCCCCCC","0"
"313.2387899","5.30005","100_300_Neg_JeansF.mzXML","C18H34O4","CCC[C@@H](CC)OC(=O)CCCCC(=O)OCC[C@H](C)CC","0"
"313.2387899","5.30005","100_300_Neg_JeansF.mzXML","C18H34O4","OC(=O)CCCCCCCCCCCCCCCCC(O)=O","-1.43912546325092"
"313.2387899","5.30005","100_300_Neg_JeansF.mzXML","C18H33BO4","CCCCCCCC\C=C/CCCCCCCC(=O)OB([O-])[O-]","-1.95376571552757"
"313.2387899","5.30005","100_300_Neg_JeansF.mzXML","C17H32O2","CCCCCCCCCCCCCCOC(=O)C=C","-3.299778809704"
"313.2387899","5.30005","100_300_Neg_JeansF.mzXML","C17H32O2","CC(CCC=C(C)C)CCC1OC(C)CC(C)(C)O1","-3.299778809704"
"313.2387899","5.30005","100_300_Neg_JeansF.mzXML","C17H32O2","CC/C=C/CCCCCCCCO[C@@H]1CCCCO1","-3.299778809704"
"315.1818034","4.048416667","100_300_Neg_JeansF.mzXML","C12H30NO6P","CC(C)CCCCCO[P](O)(O)=O.OCCNCCO","0.851373349291853"
"315.1818034","4.048416667","100_300_Neg_JeansF.mzXML","C12H30NO6P","CCCCN(CCCC)CCOCCO.O[P](O)(O)=O","0.851373349291853"
"315.1818034","4.048416667","100_300_Neg_JeansF.mzXML","C12H30NO6P","CCCCC(CC)CO[P](O)(O)=O.OCCNCCO","0.851373349291853"
"315.1818034","4.048416667","100_300_Neg_JeansF.mzXML","C15H26O4","O=C1CCCCCCCCCCCC(=O)OCCO1","-3.1468700539314"
"315.1818034","4.048416667","100_300_Neg_JeansF.mzXML","C15H26O4","CCCCC(CC)COC(=O)C=C.COC(=O)C=C","-3.1468700539314"
"315.2544454","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCCC(=O)OC","-1.18941183401464"
"315.2544454","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCOC(=O)CC","-1.18941183401464"
"315.2544454","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCC(=O)OCCC(C)C","-1.18941183401464"
"315.2544454","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCC(C)C(O)=O","-1.18941183401464"
"315.2544454","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCCCC(O)=O","-1.18941183401464"
"315.2544454","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCC(CC)C(O)=O","-1.18941183401464"
"315.2544454","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCC(CC)COC(=O)CC(C)CC(C)(C)C","-1.18941183401464"
"315.2544454","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCC(CC)COC(=O)CCCCCC(C)C","-1.18941183401464"
"315.2544454","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCOCC1CO1","-1.58941183401464"
"316.2576803","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCCC(=O)OC","2.01714422794941"
"316.2576803","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCOC(=O)CC","2.01714422794941"
"316.2576803","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCC(=O)OCCC(C)C","2.01714422794941"
"316.2576803","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCC(C)C(O)=O","2.01714422794941"
"316.2576803","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCCCC(O)=O","2.01714422794941"
"316.2576803","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCC(CC)C(O)=O","2.01714422794941"
"316.2576803","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCC(CC)COC(=O)CC(C)CC(C)(C)C","2.01714422794941"
"316.2576803","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCC(CC)COC(=O)CCCCCC(C)C","2.01714422794941"
"316.2576803","5.21285","100_300_Neg_JeansF.mzXML","C17H34O2","CCCCCCCCCCCCCCOCC1CO1","1.61714422794941"
"319.2317708","7.892916667","100_300_Neg_JeansC.mzXML","C15H31NO3","CCCCCCCCCCC(=O)N(CCO)CCO","-0.474152600451583"
"319.2317708","7.892916667","100_300_Neg_JeansC.mzXML","C15H31NO3","CCCCCCCCCCC(=O)NCCOCCO","-0.474152600451583"
"321.1745097","5.301816667","100_300_Neg_JeansG.mzXML","C15H30O5S","CCCCCCCCCCCCC(C(=O)OC)[S](O)(=O)=O","-1.751513049"
"321.2109477","8.428766667","100_300_Neg_JeansF.mzXML","C15H32O2S","CCCCCCCCCCCCSCC(O)CO","-4.178208071"
"322.1779175","5.301816667","100_300_Neg_JeansG.mzXML","C15H30O5S","CCCCCCCCCCCCC(C(=O)OC)[S](O)(=O)=O","-2.396887807"
"321.2107849","8.377783333","100_300_Neg_JeansG.mzXML","C15H32O2S","CCCCCCCCCCCCSCC(O)CO","-2.044210535"
"322.2143453","8.428766667","100_300_Neg_JeansF.mzXML","C19H30O4","COC(=O)C(C)=C.CC(=C)C(=O)O[C@H]1C[C@H]2CC[C@]1(C)C2(C)C","0"
"322.2143453","8.428766667","100_300_Neg_JeansF.mzXML","C15H32O2S","CCCCCCCCCCCCSCC(O)CO","-4.4263488204866"
"323.1902161","6.376466667","100_300_Neg_JeansC.mzXML","C13H27NO5","OCCNCCO.OC(=O)CCCCCCCC=O","-1.473981569"
"321.2109375","8.428766667","100_300_Neg_JeansF.mzXML","C15H32O2S","CCCCCCCCCCCCSCC(O)CO","-5.105975419"
"322.214325","8.428766667","100_300_Neg_JeansF.mzXML","C19H30O4","COC(=O)C(C)=C.CC(=C)C(=O)O[C@H]1C[C@H]2CC[C@]1(C)C2(C)C","0"
"322.214325","8.428766667","100_300_Neg_JeansF.mzXML","C15H32O2S","CCCCCCCCCCCCSCC(O)CO","-5.32572139990568"
"323.1902466","6.34725","100_300_Neg_JeansC.mzXML","C13H27NO5","OCCNCCO.OC(=O)CCCCCCCC=O","-1.473981569"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C17H27NO5","OC(=O)\C=C\C(=O)OCCNC(=O)CCCCCCCCC=C","0.025771588730448"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1","0"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C16H20N8","Cc1ccc2n[nH]nc2c1.Cc3ccccc3N=C(N)N=C(N)N","-0.8079126521916"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C17H29NO6","CCOC(=O)C=C.COC(=O)C(C)=C.CC1CN1.CC(=C)C(O)=O","-0.974228411269552"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCCCCc1ccc(cc1)[S](O)(=O)=O","-1.41607705193491"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O","-1.41607705193491"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCC(C(C)CC(C)CC(C)C)c1ccc(cc1)[S](O)(=O)=O","-1.41607705193491"
"326.1881002","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1","0"
"326.1881002","6.1154","100_300_Neg_JeansC.mzXML","C21H26O3","CCCCCCCCOc1ccc(c(O)c1)C(=O)c2ccccc2","0"
"326.1881002","6.1154","100_300_Neg_JeansC.mzXML","C21H26O3","CC(C)(C)CC(C)(C)c1ccc(OC(=O)c2ccccc2O)cc1","0"
"326.1881002","6.1154","100_300_Neg_JeansC.mzXML","C21H26O3","CC(C)CCCCCOc1ccc(c(O)c1)C(=O)c2ccccc2","0"
"326.1881002","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCCCCc1ccc(cc1)[S](O)(=O)=O","-2.1424109089369"
"326.1881002","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O","-2.1424109089369"
"326.1881002","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCC(C(C)CC(C)CC(C)C)c1ccc(cc1)[S](O)(=O)=O","-2.1424109089369"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C17H27NO5","OC(=O)\C=C\C(=O)OCCNC(=O)CCCCCCCCC=C","0.126092801338671"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1","0"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C16H20N8","Cc1ccc2n[nH]nc2c1.Cc3ccccc3N=C(N)N=C(N)N","-0.77424398995301"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C17H29NO6","CCOC(=O)C=C.COC(=O)C(C)=C.CC1CN1.CC(=C)C(O)=O","-0.873907198661329"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCCCCc1ccc(cc1)[S](O)(=O)=O","-1.00160989803546"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O","-1.00160989803546"
"325.1847534","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCC(C(C)CC(C)CC(C)C)c1ccc(cc1)[S](O)(=O)=O","-1.00160989803546"
"326.1880798","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1","0"
"326.1880798","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCCCCc1ccc(cc1)[S](O)(=O)=O","-3.09250396181703"
"326.1880798","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O","-3.09250396181703"
"326.1880798","6.1154","100_300_Neg_JeansC.mzXML","C18H30O3S","CCC(C(C)CC(C)CC(C)C)c1ccc(cc1)[S](O)(=O)=O","-3.09250396181703"
"335.1902059","6.251116667","100_300_Neg_JeansF.mzXML","C16H32O5S","CCCCCCCCCCCCCC(=O)OCC[S](O)(=O)=O","-2.10624303"
"337.1222127","5.448883333","100_300_Neg_JeansC.mzXML","C18H22ClNO3","CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12","0"
"337.1222127","5.448883333","100_300_Neg_JeansC.mzXML","C17H20ClNO","Clc1cccc(c1)C(=O)NC23CC4CC(CC(C4)C2)C3","-1.54315237360887"
"337.1222127","5.448883333","100_300_Neg_JeansC.mzXML","C17H20ClNO","[Cl-].C[N+](C)(C)Cc1ccc(cc1)C(=O)c2ccccc2","-1.54315237360887"
"337.2061056","7.980566667","100_300_Neg_JeansC.mzXML","C15H31NO7","OCCN(CCO)CCO.OC(=O)CCCCCCCC(O)=O","0.520369448"
"335.2267151","8.757333333","100_300_Neg_JeansB.mzXML","C16H34O2S","CC(C)(C)CCCCCCCCSCCOCCO","-5.562964989"
"337.2060852","7.892916667","100_300_Neg_JeansC.mzXML","C15H31NO7","OCCN(CCO)CCO.OC(=O)CCCCCCCC(O)=O","0.525969715068198"
"337.2060852","7.892916667","100_300_Neg_JeansC.mzXML","C16H34O5S","CSC[C@@H](C)OC[C@H](C)OC[C@H](C)OC[C@H](C)OC[C@H](C)O","-3.55405288710653"
"337.2060852","7.892916667","100_300_Neg_JeansC.mzXML","C15H31NO7","OCCN(CCO)CCO.OC(=O)CCCCCCCC(O)=O","0.525969715068198"
"337.2060852","7.892916667","100_300_Neg_JeansC.mzXML","C16H34O5S","CSC[C@@H](C)OC[C@H](C)OC[C@H](C)OC[C@H](C)OC[C@H](C)O","-3.55405288710653"
"339.200297","7.297666667","100_300_Neg_JeansG.mzXML","C18H29NO5","CCCCOC(=O)\C=C/C(=O)OCCCC.C=CN1CCCC1=O","0"
"339.200297","7.297666667","100_300_Neg_JeansG.mzXML","C18H31NO6","CCOC(=O)C=C.COC(=O)C(C)=C.CN(C)CCOC(=O)C(C)=C","-0.474113782080149"
"339.200297","7.297666667","100_300_Neg_JeansG.mzXML","C19H32O3S","CCCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O","-1.11146341493662"
"339.200297","7.297666667","100_300_Neg_JeansG.mzXML","C17H27NO3","CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1","-3.16551636821479"
"339.2003988","7.31115","100_300_Neg_JeansC.mzXML","C18H29NO5","CCCCOC(=O)\C=C/C(=O)OCCCC.C=CN1CCCC1=O","0"
"339.2003988","7.31115","100_300_Neg_JeansC.mzXML","C18H31NO6","CCOC(=O)C=C.COC(=O)C(C)=C.CN(C)CCOC(=O)C(C)=C","-0.474252837046389"
"339.2003988","7.31115","100_300_Neg_JeansC.mzXML","C17H27NO3","CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1","-0.474252837046389"
"339.2003988","7.31115","100_300_Neg_JeansC.mzXML","C19H32O3S","CCCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O","-2.30985605427093"
"340.2037455","7.31115","100_300_Neg_JeansC.mzXML","C19H32O3S","CCCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O","-2.200131422"
"340.2037659","7.31115","100_300_Neg_JeansC.mzXML","C19H32O3S","CCCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O","-2.432446629"
"340.2037659","7.31115","100_300_Neg_JeansC.mzXML","C19H32O3S","CCCCCCCCCCC(CC)c1ccc(cc1)[S](O)(=O)=O","-2.432446629"
"343.2131551","4.588416667","100_300_Neg_JeansF.mzXML","C18H32O6","CC(C)CC(=O)OCC(COC(=O)CC(C)C)OC(=O)CC(C)C","0"
"343.2131551","4.588416667","100_300_Neg_JeansF.mzXML","C18H34O7","CCCCC(CC)CO.OCCCOCCCO.O=C1OC(=O)C=C1","-2.23247925683286"
"343.2131551","4.588416667","100_300_Neg_JeansF.mzXML","C17H30O4","CCCCCCOC[C@H](C=O)C(=O)[C@@H](C)[C@@H](C)C(=O)CC","-2.88131329787258"
"345.1360881","5.043216667","100_300_Neg_JeansC.mzXML","C12H24O11","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","0.025975420875021"
"345.1360881","5.043216667","100_300_Neg_JeansC.mzXML","C12H24O11","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","0.025975420875021"
"345.1360881","5.043216667","100_300_Neg_JeansC.mzXML","C20H18N4O2","COc1cc(N=Nc2ccccc2)c(C)cc1NN=C3C=CC(=O)C=C3","0"
"345.1360881","5.043216667","100_300_Neg_JeansC.mzXML","C20H18N4O2","CC1=NN(c2ccccc2)C(=O)C1C3C(=NN(c4ccccc4)C3=O)C","0"
