mz,rt,X300_500_Neg_Blank1.mzXML,X300_500_Neg_Blank2.mzXML,X300_500_Neg_JeansA.mzXML,X300_500_Neg_JeansB.mzXML,X300_500_Neg_JeansC.mzXML,X300_500_Neg_JeansD.mzXML,X300_500_Neg_JeansDx.mzXML,X300_500_Neg_JeansE.mzXML,X300_500_Neg_JeansF.mzXML,X300_500_Neg_JeansG.mzXML,X300_500_Neg_JeansGx.mzXML,MeOH_20190615135739.mzXML,SampleID,formula.pred,isoscore,mserror,ms1score,SMILES,DbID,Adducts,neutralscore,ionmodescore,adductscore,MS2score,rtscore,allscore,allscore0,Final,avg
309.207428,5.272566667,10363.93066,8198.27832,8418.541016,20783.54102,46720.72656,25885.48438,4717.5625,20531.99414,122609.4531,172584.0313,37151.80078,6034.548828,10,C18H30O4;C18H30O4;C18H30O4;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2;C17H28O2,0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249;0.00978644593112249,0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905;-2.44563276697905,0.0197367767842906;0.0197367767842906;0.0197367767842906;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793;-2.43584632104793,CC(=O)OC1(C)CCC2C(C)(C)CCCC2(C)C1CC(O)=O,6323;12648;15343;19704;799;889;3969;8446;12857;17751;18576;19286;31134;32505,[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0,-0.5;-0.5;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;0;0,0,-0.00113591651275751;-0.0755888341563501;-0.591914615374465;-1.07765119516433;-0.506637408694967;-0.482636018753203;-1.30037054444339;-1.0781465451901;-2.37030803830086;-0.207996664521751;-0.28933517504804;-1.03351586317944;-0.675070364969479;-0.56044479355739,-0.00113591651275751;-0.0755888341563501;0.427822161409825;-3.51349751621226;-2.9424837297429;-2.91848233980113;-3.73621686549132;-3.51399286623803;-4.80615435934879;-2.64384298556968;-2.72518149609597;-3.46936218422737;-3.11091668601741;-2.99629111460532,0.427822161,C18H30O4,40333.32438
311.1690572,5.8972,771938.625,820291.5,676315.5,984116.75,554541.5,873661.6875,1012406.25,966520.4375,1134983.25,1287849.375,714822.625,672796.4375,10,C16H25NO5;C16H27NO6;C15H18N8;C15H23NO3;C15H23NO3;C15H23NO3,-0.484028474343239;-0.484028474343239;-0.484385376914002;-0.484028474343239;-0.484028474343239;-0.484028474343239,0.00995033085316809;0.00995033085316809;0.00995033085316809;-2.27756910840851;-2.27756910840851;-2.27756910840851,-0.474078143490071;-0.474078143490071;-0.474435046060834;-2.76159758275175;-2.76159758275175;-2.76159758275175,CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O,18077;18371;28585;23941;26586;36789,[M-H]-;[M-H-H2O]-;[M]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0,0;0;0;0;0;0,1;0;0.5;0;0;0,0,-0.000978377017945711;-1.08519569006018;-12.2552185324311;-0.148277601608887;-1.20906623783733;-0.780666998630916,0.524943479491983;-1.55927383355025;-12.2296535784919;-2.90987518436064;-3.97066382058908;-3.54226458138267,0.524943479,C16H25NO5,872520.3281
311.1693115,5.564266667,4821045,9247047,13067613,10721806,57065224,11448016,9404708,10390603,15683255,7325949,11190425,8965665,5,C16H25NO5;C16H27NO6;C15H23NO3;C15H23NO3;C15H23NO3;C15H18N8,-0.484044112514073;-0.484044112514073;-0.484044112514073;-0.484044112514073;-0.484044112514073;-0.484400036745348,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,-0.474093781660905;-0.474093781660905;-0.474093781660905;-0.474093781660905;-0.474093781660905;-0.47444970589218,CCOC(=O)C(C)=C.CC(=C)C(O)=O.C=CN1CCCC1=O,18077;18371;23941;26586;36789;28585,[M-H]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M]-,0,0;0;0;0;0;0,1;0;0;0;0;0.5,0,-0.141797188766589;-1.92379096707394;-0.53340960894146;-0.568960682482708;-0.289737783194381;-14.791916618403,0.384109029572506;-2.39788474873485;-1.00750339060236;-1.04305446414361;-0.763831564855286;-14.7663663242952,0.38410903,C16H25NO5,14110946.33
313.2385966,7.786533333,37160.36719,47277.06641,53389.58203,72522,118160.4297,79882.60938,23958.91992,86238.16406,550653.6875,197904.7969,73921.39844,46873.98438,9,C18H33BO4;C18H34O4;C18H34O4;C18H34O4;C17H32O2;C17H32O2;C17H32O2,0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697;0.00968717110612697,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951;0.0196375019592951,OC(=O)CCCCCCCCCCCCCCCCC(O)=O,39568;6163;6376;19350;19354;21252;23617,[M]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0,0;-0.5;0;-0.5;0;0;0,0.5;1;1;1;0;0;0,0,-0.0733573718806773;-2.08104367811147;-0.211590997130629;-0.168028263692178;-0.209057341645231;-0.226427298764222;-0.226427298764222,0.446280130078618;-2.08104367811147;0.808046504828671;-0.168028263692178;-0.189419839685936;-0.206789796804927;-0.206789796804927,0.808046505,C18H34O4,115661.9172
316.2576803,5.21285,23660.96289,20282.67578,31267.00195,38710.24219,24795.20117,31041.20117,33505.57422,30576.10547,154366.8594,106409.5781,59794.80859,27524.66016,9,C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2;C17H34O2,0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054;0.00719389709624054,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409;0.617144227949409,CCCCCCCCCCCCCCOC(=O)CC,687;8760;12345;18312;22087;25252;30734;38091;39126,[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,;0.5;0.5;0.5;0.5;0;0.5;0.5;0.5;0.5,0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0,-0.0177362333234934;-2.78595299741668e-05;-0.000837286489712993;-0.47398488822771;-0.317596754002005;-0.63283131920948;-0.47398488822771;-0.0206594271195606;-0.0180703312704408,0.999407994625917;1.01711636841944;1.0163069414597;0.5431593397217;0.299547473947404;0.38431290873993;0.5431593397217;0.996484800829849;0.999073896678969,1.017116368,C17H34O2,48494.57259
325.1844482,9.3284,129010.1719,166608.4375,112890.4375,164211.0313,137024.3281,136956.9531,220436.5625,156239.5313,173088.9219,110144.7031,138826.5156,128186.0234,7,C18H30O3S;C18H30O3S;C18H30O3S;C18H30O3S;C17H29NO6;C16H20N8;C17H27NO5,0.00879808834452949;0.00879808834452949;0.00879808834452949;0.00879808834452949;-0.484100129611752;-0.484458420886351;-0.484100129611752,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;-4.16135614166326;-4.30792829334793;-4.3350776711103,1.0187484191977;1.0187484191977;1.0187484191977;1.0187484191977;-5.64545627127501;-5.79238671423428;-5.81917780072205,CCCCCCCCCCCCc1ccc(cc1)[S](O)(=O)=O,28583;3371;8002;24641;43018;18336;27209,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M]-;[M-H]-,0,0;-0.5;0;0;0;0;0,1;1;1;1;0;0.5;1,0;0;0;0;0;0;0,-0.012493978081943;-6.37195667002015;-11.3572171759568;-6.49986105771842;-5.23075361925734;-5.65782930980251;-6.86678744106947,2.00625444111576;-6.37195667002015;-9.33846875675908;-4.48111263852072;-10.8762098905324;-10.9502160240368;-11.6859652417915,2.006254441,C18H30O3S,147801.9681
329.1608582,7.87395,47685.21875,85690.86719,39495.18359,72534.53906,100721.2969,101937.2656,43206.99219,75933.04688,129352.8359,87263.10938,70889.46875,45029.4375,9,C16H26O7;C16H26O7,-0.00507371078015374;-0.00507371078015374,0.00995033085316809;0.00995033085316809,0.00487662007301435;0.00487662007301435,CCC(=C)C(O)=O.COC(=O)C(C)=C.CC(=C)C(=O)OCCO,2919;18271,[M-H]-;[M-H]-,0,-0.5;0,1;1,0,-7.05921717629284;-0.579437662495383,-7.05921717629284;0.425438957577627,0.425438958,C16H26O7,74978.27181
339.2541097,7.87395,9452.076172,12681.87012,9948.009766,33290.19922,148515.4844,17958.76367,4740.035156,3844.560059,413795.2813,241906.9063,48878.96875,4861.969727,9,C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H36O4;C20H38O5;C20H38O5;C20H38O5;C19H34O2;C19H34O2;C19H34O2;C19H34O2;C16H38NO4P;C16H38NO4P,0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00964378959018366;0.00725983790070458;0.00725983790070458,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0195941204433518;0.0172101687538727;0.0172101687538727,[O-]C(=O)CCCCCCCCCCCCCCCCCCC([O-])=O,4123;4186;8598;9532;9636;31103;44198;44199;48052;26394;26729;40385;707;15816;30804;38350;10529;11499,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M]-;[M]-,0,-0.5;-0.5;0;-0.5;-0.5;-0.5;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0.5;0.5,0,-2.70326408035145;-2.70326408035145;-0.0365123384175506;-2.05400646659419;-2.05400646659419;-2.05400646659419;-1.52351887504903;-1.52351887504902;-1.34344293087042;-3.44602774667012;-2.27429241001959;-2.68177070888307;-6.3111650102566;-12.1996828452229;-7.3988386268662;-12.1996828452229;-1.47550465806567;-1.92516874184165,-2.70326408035145;-2.70326408035145;0.983081782025799;-2.05400646659419;-2.05400646659419;-2.05400646659419;-0.503924754605679;-0.503924754605674;-0.323848810427066;-3.42643362622677;-2.25469828957624;-2.66217658843972;-6.29157088981325;-12.1800887247796;-7.37924450642284;-12.1800887247796;-0.958294489311797;-1.40795857308778,0.983081782,C20H36O4,79156.17704
369.3013407,7.26235,86031.74219,98404.80469,79861.15625,87063.26563,83284.65625,86165.70313,100279.0547,81373.54688,254904.75,158388.2969,91698.67969,78374.74219,9,C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C22H42O4;C21H40O2;C21H40O2;C21H40O2;C21H40O2;C21H40O2;C21H40O2,0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347;0.00885581074936347,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316;0.0188061416025316,CCCCCCCCCCCCCCCCOC(=O)CCCCC(O)=O,2664;2774;2874;3501;7242;16553;23983;30821;33619;38085;41809;3094;3138;10512;27281;39144;43235,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0,-0.5;0;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;-0.5;0;0;0;0;0;0;0,1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,0,-0.716077857319496;-0.340489437253444;-0.518084593014935;-0.403521953122301;-0.465873354517373;-0.403521953122303;-0.403521953122301;-0.627747734506619;-0.108383220346045;-0.343826345048294;-0.0274072633273305;-2.09729597147927;-1.98428252410563;-1.52018591410415;-2.09729597147927;-4.96012363194342;-1.32866468492739,-0.716077857319496;0.678316704349086;-0.518084593014935;-0.403521953122301;-0.465873354517373;-0.403521953122303;-0.403521953122301;-0.627747734506619;0.910422921256485;-0.343826345048294;0.9913988782752;-2.07848982987674;-1.9654763825031;-1.50137977250162;-2.07848982987674;-4.94131749034089;-1.30985854332486,0.991398878,C22H42O4,107152.5332
397.3324585,7.960666667,12711.91602,28811.13477,41782.65234,17474.03516,25354.45313,22738.27734,40632.52344,19635.08398,326749.125,163165.25,66808.04688,16572.83398,9,C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H46O4;C24H48O5;C24H48O5;C23H44O2;C23H44O2,0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159;0.00975591543762159,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.26970624629079;0.26970624629079;0.26970624629079;0.26970624629079;0.26970624629079;0.26970624629079;0.26970624629079;0.26970624629079;0.26970624629079;0.26970624629079;-0.23029375370921;-0.23029375370921,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(CC)(CO)CO,773;1964;2744;8668;9198;10513;11593;19799;20117;25952;40524;40940,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H-H2O]-;[M-H-H2O]-;[M+CH2O2-H]-;[M+CH2O2-H]-,;0;0;0;0;0;0;0;0;0.5;0;0;0,-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;-0.5;0;0;0;0,1;1;1;1;1;1;1;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0,-0.842901881834538;-0.53809731407207;-0.0894719494850003;-0.53809731407207;-0.53809731407207;-0.229460634028349;-0.53809731407207;-0.932020833967245;-0.932020833967241;-0.842901881834538;-0.842901881834538;-0.932020833967245,-0.842901881834538;-0.53809731407207;1.18023429680579;-0.53809731407207;-0.53809731407207;-0.229460634028349;-0.53809731407207;-0.932020833967245;-0.262314587676451;-0.573195635543748;-1.07319563554375;-1.16231458767645,1.180234297,C24H46O4,65202.94434
411.3481954,7.320333333,143819.4375,128550.8203,116154.2266,99236.6875,73910.01563,99232.4375,107449.8828,103030.0078,230377.0469,158782.9219,131796.7969,124255.8906,9,C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C25H48O4;C24H46O2;C24H46O2,0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139;0.00909627925157139,0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809;0.00995033085316809,0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395;0.0190466101047395,CCCCCCCCCCCCCCCCCCCCOC(=O)CCCC(O)=O,2665;10825;14519;18033;18527;25650;26711;29994;30816;32039;32730;41472;15939;23551,[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M-H]-;[M+CH2O2-H]-;[M+CH2O2-H]-,0,-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;0;-0.5;-0.5;-0.5;-0.5;0;0,1;1;1;1;1;1;1;1;1;1;1;1;0;0,0,-0.0596922956657081;-0.00235150597510439;-1.38520732034796e-06;-0.00650529201464274;-0.00153541605011364;-0.0633608276377463;-0.0224068885186083;-0.72127227057555;-0.0362565623836282;-0.0941022236303377;-0.00111155625092062;-0.0288603793684066;-0.716241677464962;-0.610809229198223,-0.0596922956657081;-0.00235150597510439;-1.38520732034796e-06;-0.00650529201464274;-0.00153541605011364;-0.0633608276377463;-0.0224068885186083;0.29777433952919;-0.0362565623836282;-0.0941022236303377;-0.00111155625092062;-0.0288603793684066;-0.697195067360222;-0.591762619093483,0.29777434,C25H48O4,126383.0143
457.3172302,7.523566667,6614.667969,3768.375,41689.12109,29986.40039,14512.08984,11345.55859,8862.744141,9499.900391,945890.3125,510004.2813,326087.875,4710.877441,9,C25H48O8,0.007729855,0.009950331,0.017680186,CCCCOCCOCCOC(=O)CCCCCCCC(=O)OCCOCCOCCCC,37925,[M-H-H2O]-,;0.5,0,0,0,-0.163274301,0.254405884,0.254405884,C25H48O8,159414.3503
467.4469503,8.50805,54029.24219,8670.294922,7691.202148,12728.57227,7576.265137,10976.56348,120648.8203,6473.875488,5479.053711,90135.03906,6781.073242,6464.585449,7,C30H60O3,0.006412225,0.009950331,0.016362556,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,42294,[M-H]-,0,0,1,0,-0.016927183,0.999435372,0.999435372,C30H60O3,28137.88228
